model,concurrency,state_label,condition,metric,analysis_status,n_episodes,n_episodes_total,median,mean,sample_sd,iqr,min,max
qwen,4,low,fixed_burst,victim_p95_ttft_ms,ok,5,5,291.70088665000003,287.08652077,10.581919461248384,5.771070000000009,268.7600518,294.4176194
qwen,4,low,fixed_burst,victim_median_e2el_ms,ok,5,5,1511.391016,1508.1150577,6.980105570331834,3.1079804999999396,1495.9868445,1513.0843005000002
qwen,4,low,fixed_burst,victim_p95_e2el_ms,ok,5,5,1689.3109927,1689.6289694,4.754507783149338,6.781352099999822,1684.3721537000001,1695.9094013
qwen,4,low,fixed_burst,victim_goodput_tokens_per_s,ok,5,5,166.05375764181355,166.16164315631454,0.4228295118729119,0.12240317722833538,165.81705178854074,166.89500365302325
qwen,4,low,fixed_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
qwen,4,low,fixed_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,4,low,fixed_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,4,high,no_burst,victim_median_tpot_ms,ok,5,5,1490.2296561111111,1502.955983449206,18.755667583531956,32.67796591269848,1488.3678673333332,1524.9632539841268
qwen,4,high,no_burst,victim_median_itl_ms,ok,5,5,1489.2319029999999,1489.3696054,1.2253179741199063,1.7528855000000476,1488.1094345,1491.049639
qwen,4,high,no_burst,victim_p95_itl_ms,ok,5,5,1491.0054183,1491.14409322,1.155505396983922,1.535334000000148,1489.9511,1492.7792196999999
qwen,4,high,no_burst,victim_itl_iqr_ms,ok,5,5,1.3148322500001086,1.3105164499999773,0.02182505245219979,0.012659999999868887,1.2798757499999738,1.3398942499998157
qwen,4,high,no_burst,victim_median_ttft_ms,ok,5,5,11689.759825000001,10928.3235853,2499.9376660985336,4902.427871,8258.221906,13209.3941475
qwen,4,high,no_burst,victim_p95_ttft_ms,ok,5,5,13178.13116705,12381.92967753,1126.5391038475022,2043.1099876999997,11130.512263,13226.5636916
qwen,4,high,no_burst,victim_median_e2el_ms,ok,5,5,106926.3312435,106200.22591189998,1117.0075064796686,1928.2370674999984,104867.6956675,107088.57667899999
qwen,4,high,no_burst,victim_p95_e2el_ms,ok,5,5,106955.15620775,106222.59890198999,1124.681299492339,1943.0067610999831,104885.76836265001,107119.97493385
qwen,4,high,no_burst,victim_goodput_tokens_per_s,ok,5,5,2.4129562591683356,2.41967830282383,0.02412093428942266,0.04413940900856561,2.3968184781262587,2.4476806100020476
qwen,4,high,no_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
qwen,4,high,no_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,4,high,no_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,4,high,fixed_burst,victim_median_tpot_ms,ok,5,5,1559.1655988333334,1559.1528624142854,1.0833904220107797,1.4131943809525183,1557.9582453650792,1560.6433304126986
qwen,4,high,fixed_burst,victim_median_itl_ms,ok,5,5,1493.6954555,1493.4280168,1.08781358959006,1.4333660000002055,1492.2159824999999,1494.858861
