dataset,offload_gb,label,run_concurrency,run_id,request_idx,source_file,model_name,input_len,target_output_len,actual_output_len,ttft_ms,itl_count,itl_mean_ms,itl_median_ms,itl_std_ms,itl_min_ms,itl_max_ms,itl_p95_ms,itl_p99_ms,decode_time_ms,e2el_ms
qwen,12,1,2,1,8,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4513.907693999499,64,1460.5141894531357,1482.855087999269,184.04250249762688,0.006329999450827017,1506.4000410002336,1485.3809800005365,1501.8259946706348,93472.90812500069,97986.81581900019
qwen,12,1,2,1,9,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4507.070720001138,64,1460.6224390156228,1482.859098001427,184.06710380835432,0.0060500005929498,1507.782369000779,1485.3801234994535,1505.7170336998934,93479.83609699986,97986.906817001
qwen,12,1,2,1,10,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4515.319975000239,64,1460.2704857500157,1482.9617209998105,184.0097983774324,0.007370999810518697,1505.3199990015855,1485.1030946498213,1501.1924903704676,93457.311088001,97972.63106300124
qwen,12,1,2,1,11,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4506.823137000538,64,1460.4488021093687,1482.9613700003392,184.05197109614144,0.0055199998314492404,1508.8684290003584,1485.103282649834,1507.3308837604418,93468.7233349996,97975.54647200013
qwen,12,1,2,1,12,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4517.349350999211,64,1460.2481009218877,1482.7658195008553,184.00618466871052,0.007280001227627508,1505.3654809998989,1484.751089149995,1500.9905782996975,93455.87845900081,97973.22781000003
qwen,12,1,2,1,13,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4505.607365999822,64,1460.3760068593772,1482.765439999639,184.03542720116496,0.005111000064061955,1506.3810410010774,1484.744025800137,1505.7698868204716,93464.06443900014,97969.67180499996
qwen,12,1,2,1,14,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4511.982817000899,64,1460.143648093748,1482.8579350005384,183.99337817591706,0.007249998816405423,1506.1363330005406,1484.885173350358,1500.2374691205841,93449.19347799987,97961.17629500077
qwen,12,1,2,1,15,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4502.941745999124,64,1460.3102781406392,1482.8452395004206,184.03058939078767,0.006120000762166455,1506.7131180003344,1484.887641498699,1506.550713450888,93459.85780100091,97962.79954700003
qwen,12,1,2,1,16,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4514.031300999704,64,1460.5645108906344,1482.877306500086,184.05106363836163,0.006849999408586882,1507.0629170004395,1485.7581042501806,1502.5626291803565,93476.1286970006,97990.15999800031
qwen,12,1,2,1,17,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4507.435356999849,64,1460.6346261718954,1482.8769409996312,184.06650796660057,0.005490001058205962,1505.7203090000257,1485.977053201077,1505.5806587900224,93480.61607500131,97988.05143200116
